CLIProxyAPI Version: dev, Commit: none, BuiltAt: unknown
[2026-01-12 10:15:50] [--------] [info ] [main.go:413] CLIProxyAPI Version: dev, Commit: none, BuiltAt: unknown
[2026-01-12 10:15:50] [--------] [info ] [util.go:70] log level changed from info to debug (debug=true)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)
[2026-01-12 10:15:50] [--------] [debug] [reconcile.go:159] auth providers unchanged after config update
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /api/provider/:provider/v1/messages --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.(*FallbackHandler).WrapHandler.func11 (7 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /api/provider/:provider/v1/messages/count_tokens --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.(*FallbackHandler).WrapHandler.func12 (7 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /api/provider/:provider/v1beta/models --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/gemini.(*GeminiAPIHandler).GeminiModels-fm (7 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /api/provider/:provider/v1beta/models/*action --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.(*FallbackHandler).WrapHandler.func13 (7 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /api/provider/:provider/v1beta/models/*action --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/gemini.(*GeminiAPIHandler).GeminiGetHandler-fm (7 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /api/internal             --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /api/internal             --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PUT    /api/internal             --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PATCH  /api/internal             --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] HEAD   /api/internal             --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] OPTIONS /api/internal             --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] DELETE /api/internal             --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] CONNECT /api/internal             --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] TRACE  /api/internal             --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /api/internal/*path       --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /api/internal/*path       --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PUT    /api/internal/*path       --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PATCH  /api/internal/*path       --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] HEAD   /api/internal/*path       --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] OPTIONS /api/internal/*path       --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] DELETE /api/internal/*path       --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] CONNECT /api/internal/*path       --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] TRACE  /api/internal/*path       --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /api/user                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /api/user                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PUT    /api/user                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PATCH  /api/user                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] HEAD   /api/user                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] OPTIONS /api/user                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] DELETE /api/user                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] CONNECT /api/user                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] TRACE  /api/user                 --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] GET    /api/user/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] POST   /api/user/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PUT    /api/user/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-01-12 10:15:50] [--------] [info ] [global_logger.go:80] PATCH  /api/user/*path           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
